Date,TotalNet_proj
2019-11-01,303.9177014541268
2019-12-01,326.7052843494553
2020-01-01,347.62729738587495
2020-02-01,298.8605063925881
2020-03-01,309.47865109549593
2020-04-01,284.4149061054621
2020-05-01,318.3792439113447
2020-06-01,344.1250626176804
2020-07-01,397.38194978078184
2020-08-01,395.79285480405724
2020-09-01,343.59266700608555
2020-10-01,308.46245648997564
2020-11-01,305.3265410232691
2020-12-01,325.9344337544226
2021-01-01,346.6626206156399
2021-02-01,299.4706366455446
2021-03-01,309.6919273748493
2021-04-01,284.033493815641
2021-05-01,317.66061368055045
2021-06-01,342.7840500560978
2021-07-01,397.32755629897366
2021-08-01,396.03050511323596
2021-09-01,343.64179409964515
2021-10-01,308.12148398736304
2021-11-01,305.02664332461205
2021-12-01,326.20509406471336
2022-01-01,346.9840170839115
2022-02-01,299.37980998830096
2022-03-01,309.7049816324028
2022-04-01,284.2022143766987
2022-05-01,317.91760476332365
2022-06-01,343.20395658900577
2022-07-01,397.41067607638405
2022-08-01,396.03717920263495
2022-09-01,343.69781622314576
2022-10-01,308.27961898909666
2022-11-01,305.17402654272286
2022-12-01,326.2031274217917
2023-01-01,346.9687696912261
2023-02-01,299.4724665520014
2023-03-01,309.7704462192213
2023-04-01,284.22693158913654
2023-05-01,317.9192161916955
2023-06-01,343.1629230987945
2023-07-01,397.4578002394599
2023-08-01,396.1043138689417
2023-09-01,343.75203349644426
2023-10-01,308.30710708861244
2023-11-01,305.20432904036255
2023-12-01,326.272523895226
2024-01-01,347.0416425476059
2024-02-01,299.5170943559256
2024-03-01,309.822191823448
2024-04-01,284.2893432686895
2024-05-01,317.9876760654466
2024-06-01,343.24254575102646
2024-07-01,397.5143466521836
2024-08-01,396.15562231141524
2024-09-01,343.806723209219
2024-10-01,308.36879345786645
2024-11-01,305.2652787098207
2024-12-01,326.3232402847007
2025-01-01,347.0914489554456
2025-02-01,299.57429421823116
2025-03-01,309.8775285229035
2025-04-01,284.3418880051144
2025-05-01,318.03863762023377
2025-06-01,343.2905853252459
2025-07-01,397.56842668698687
2025-08-01,396.2110734427884
2025-09-01,343.8612892557424
2025-10-01,308.42152805227363
2025-11-01,305.3182061435368
2025-12-01,326.37884639248597
2026-01-01,347.1472932609752
2026-02-01,299.6282032053886
2026-03-01,309.9319252135168
2026-04-01,284.39701552289006
2026-05-01,318.0941795532904
2026-06-01,343.3468921189914
2026-07-01,397.6231523234536
2026-08-01,396.2654401795833
2026-09-01,343.9158876732732
2026-10-01,308.47660587262544
2026-11-01,305.37323348606947
2026-12-01,326.43317256249327
2027-01-01,347.20155708009185
2027-02-01,299.6829736154661
2027-03-01,309.9865679618277
2027-04-01,284.4514669691187
2027-05-01,318.14852252174177
2027-06-01,343.40103487670905
2027-07-01,397.6777089665539
2027-08-01,396.320090768637
2027-09-01,343.9704776173351
2027-10-01,308.5310703277037
2027-11-01,305.42771115427445
2027-12-01,326.4878337703517
2028-01-01,347.2562346089846
2028-02-01,299.73751853857914
2028-03-01,310.0411463018183
2028-04-01,284.5060953845424
2028-05-01,318.2031793324219
2028-06-01,343.4557440947602
2028-07-01,397.7323098455345
2028-08-01,396.37466705622654
2028-09-01,344.02506977942113
2028-10-01,308.5856953379173
2028-11-01,305.4823327058062
2028-12-01,326.5424072783518
2029-01-01,347.3108038447737
2029-02-01,299.79212248539585
2029-03-01,310.0957415013982
2029-04-01,284.5606774763246
2029-05-01,318.2577539914321
2029-06-01,343.51030503556217
2029-07-01,397.78689914528485
2029-08-01,396.42926279304515
2029-09-01,344.07966136091494
2029-10-01,308.64027832105086
2029-11-01,305.53691659428796
2029-12-01,326.59700374275866
2030-01-01,347.365401427479
2030-02-01,299.8467109821063
2030-03-01,310.15033228779447
2030-04-01,284.6152716938317
2030-05-01,318.31235015454934
2030-06-01,343.56490478957187
2030-07-01,397.8414914760266
2030-08-01,396.4838534388132
2030-09-01,344.13425309438514
2030-10-01,308.6948723052368
2030-11-01,305.591510341489
2030-12-01,326.6515941980724
2031-01-01,347.41999159006576
2031-02-01,299.90130352305255
2031-03-01,310.20492422939014
2031-04-01,284.6698627372962
2031-05-01,318.3669406887289
2031-06-01,343.6194943837957
2031-07-01,397.89608301337285
2031-08-01,396.5384454172199
2031-09-01,344.1888447880738
2031-10-01,308.7494634097758
2031-11-01,305.64610150806135
2031-12-01,326.7061862263326
2032-01-01,347.47458369495047
2032-02-01,299.9558950053754
2032-03-01,310.2595158685997
2032-04-01,284.72445461160146
2032-05-01,318.4215326963451
2032-06-01,343.6740866374557
2032-07-01,397.95067475839903
2032-08-01,396.59303704679365
2032-09-01,344.24343649217565
2032-10-01,308.80405526809403
2032-11-01,305.7006933501417
2032-12-01,326.7607778428566
2033-01-01,347.5291752914172
2033-02-01,300.01048676480457
2033-03-01,310.314107586962
2033-04-01,284.7790462684249
2033-05-01,318.4761243182729
2033-06-01,343.72867819497884
2033-07-01,398.0052664490627
2033-08-01,396.64762876767827
2033-09-01,344.2980281935517
2033-10-01,308.85864692910224
2033-11-01,305.7552850154004
2033-12-01,326.8153695671571
2034-01-01,347.5837670209679
2034-02-01,300.06507845169807
2034-03-01,310.3686992846052
2034-04-01,284.83363798217664
2034-05-01,318.530716041159
2034-06-01,343.78326993472353
2034-07-01,398.05985815395644
2034-08-01,396.70222046466137
2034-09-01,344.3526198956414
2034-10-01,308.91323864175865
2034-11-01,305.8098767269442
2034-12-01,326.8699612632461
2035-01-01,347.6383587156826
2035-02-01,300.11967015757875
2035-03-01,310.42329098767203
2035-04-01,284.8882296810268
2035-05-01,318.58530773761817
2035-06-01,343.8378616267698
2035-07-01,398.11444985512526
2035-08-01,396.7568121679009
2035-09-01,344.4072115975442
2035-10-01,308.9678303408955
2035-11-01,305.86446842637224
2035-12-01,326.92455296671966
2036-01-01,347.6929504195159
2036-02-01,300.1742618584892
2036-03-01,310.4778826893191
2036-04-01,284.9428213837776
2036-05-01,318.6398994409948
2036-06-01,343.8924533313015
2036-07-01,398.16904155726905
2036-08-01,396.81140386950267
2036-09-01,344.46180329949584
2036-10-01,309.02242204357117
2036-11-01,305.9190601289717
2036-12-01,326.9791446682602
2037-01-01,347.74754212096224
2037-02-01,300.22885356070066
2037-03-01,310.5324743913377
2037-04-01,284.99741308550733
2037-05-01,318.6944911425607
2037-06-01,343.9470450325651
2037-07-01,398.2236332591577
2037-08-01,396.8659955715332
2037-09-01,344.51639500143483
2037-10-01,309.07701374532064
2037-11-01,305.9736518307411
2037-12-01,327.03373637030677
2038-01-01,347.8021338230335
2038-02-01,300.28344526257166
2038-03-01,310.5870660932592
2038-04-01,285.0520047875044
2038-05-01,318.74908284460065
2038-06-01,344.00163673468415
2038-07-01,398.2782249611132
2038-08-01,396.9205872734516
2038-09-01,344.57098670337723
2038-10-01,309.13160544731267
2038-11-01,306.0282435327279
2038-12-01,327.08832807222103
2039-01-01,347.8567255249413
2039-02-01,300.33803696453185
2039-03-01,310.6416577952062
2039-04-01,285.10659648943164
2039-05-01,318.80367454651673
2039-06-01,344.05622843657954
2039-07-01,398.33281666305135
2039-08-01,396.9751789753994
2039-09-01,344.6255784053187
2039-10-01,309.1861971492412
2039-11-01,306.0828352346578
2039-12-01,327.1429197741699
2040-01-01,347.91131722689187
2040-02-01,300.39262866646874
2040-03-01,310.6962494971465
2040-04-01,285.1611881913771
2040-05-01,318.8582662484651
2040-06-01,344.1108201385333
2040-07-01,398.387408364994
2040-08-01,397.02977067733946
2040-09-01,344.68017010726044
2040-10-01,309.24078885118627
2040-11-01,306.13742693660254
2040-12-01,327.1975114761097
2041-01-01,347.9659089288312
