,NG_proj,Coal_proj,TotalNet_proj,Solar_proj,Wind_proj,TotalRew_proj
0,105.5445957632647,74.5786146581286,303.9177014541268,4.745043888707949,26.00690284647293,55.99402278327512
1,113.3417598897238,82.58309533913555,326.7052843494553,4.211050926956734,27.38245225135523,58.862128695073366
2,118.57811295443057,89.45711980228829,347.62729738587495,4.576507374820288,28.525232658872667,61.763935157624324
3,108.4078431235808,63.6737210407197,298.8605063925881,4.966771620766141,26.147923415987087,57.78096195379218
4,113.7277117744805,62.21987060115978,309.47865109549593,6.796874141626704,29.212858345291494,65.01775573168767
5,106.33300645338645,47.33840924548984,284.41490610546214,7.75983293793193,31.544000529974106,68.62532198504347
6,120.76803514580256,59.22425317696272,318.3792439113447,8.231229252578611,28.027235383926307,70.05039069044834
7,138.55369081279636,68.75945519992898,344.1250626176804,9.097297090121733,26.4736582677233,65.90671117585447
8,174.69996554528595,88.54771911693666,397.3819497807818,8.907045058003538,22.614564030828284,58.61943700002343
9,171.89382101686328,92.05743047146989,395.79285480405724,8.47468230840216,23.217876661781766,56.103058202438575
10,147.92959601967044,74.44054689491962,343.59266700608555,7.965999112058546,22.395301859251884,53.699703939787796
11,131.2038679594097,57.74583512942565,308.46245648997564,6.850756409383122,25.578346259249905,55.91902953812623
12,115.15002803148887,63.77312440759732,305.3265410232691,5.606206733460219,27.309187435027734,58.11382455150103
13,118.88179096308941,70.47684627274539,325.9344337544226,5.012555451847627,29.076505072887077,61.14631176942255
14,127.3305932077324,76.52778540069556,346.66262061563987,5.403556659716107,29.90176157123336,63.619076026557096
15,118.604770042688,52.230809102009744,299.47063664554463,5.7592258572090795,27.627576296614976,59.35492721693761
16,122.13436290931021,50.74981602003507,309.69192737484934,7.656688255942128,30.66159222710019,67.07118717908023
17,113.7741637866516,34.814180383021046,284.033493815641,8.610212848615992,33.72068058232889,71.09547412099595
18,127.15074092232211,46.69855496496945,317.6606136805504,9.047236812322662,30.11650085969841,72.60725203881726
19,146.66721371579513,55.32631736031418,342.7840500560978,9.925994304580591,27.96388844888135,67.82454595939683
20,182.96871598396126,75.90932179206153,397.3275562989737,9.797411198578144,25.26204628546023,61.67785100689274
21,181.2892651207404,79.9307035204302,396.030505113236,9.319548742194968,25.11625589974101,58.488745703457695
22,154.7944993987741,62.42471154450814,343.64179409964515,8.810102170555087,24.48179300618819,56.61568615818454
