,Date,TotalRew_proj,NG_proj,Coal_proj,TotalNet_proj,Solar_proj,Wind_proj,monthcnt
0,2019-11-01,55.99402278327512,105.5445957632647,74.5786146581286,303.9177014541268,4.745043888707949,26.00690284647293,0
1,2019-12-01,58.862128695073366,113.3417598897238,82.58309533913555,326.7052843494553,4.211050926956734,27.38245225135523,1
2,2020-01-01,61.763935157624324,118.57811295443057,89.45711980228829,347.62729738587495,4.576507374820288,28.525232658872667,2
3,2020-02-01,57.78096195379218,108.4078431235808,63.6737210407197,298.8605063925881,4.966771620766141,26.147923415987087,3
4,2020-03-01,65.01775573168767,113.7277117744805,62.21987060115978,309.47865109549593,6.796874141626704,29.212858345291494,4
5,2020-04-01,68.62532198504347,106.33300645338645,47.33840924548984,284.41490610546214,7.75983293793193,31.544000529974106,5
6,2020-05-01,70.05039069044834,120.76803514580256,59.22425317696272,318.3792439113447,8.231229252578611,28.027235383926307,6
7,2020-06-01,65.90671117585447,138.55369081279636,68.75945519992898,344.1250626176804,9.097297090121733,26.4736582677233,7
8,2020-07-01,58.61943700002343,174.69996554528595,88.54771911693666,397.3819497807818,8.907045058003538,22.614564030828284,8
9,2020-08-01,56.103058202438575,171.89382101686328,92.05743047146989,395.79285480405724,8.47468230840216,23.217876661781766,9
10,2020-09-01,53.699703939787796,147.92959601967044,74.44054689491962,343.59266700608555,7.965999112058546,22.395301859251884,10
11,2020-10-01,55.91902953812623,131.2038679594097,57.74583512942565,308.46245648997564,6.850756409383122,25.578346259249905,11
12,2020-11-01,58.11382455150103,115.15002803148887,63.77312440759732,305.3265410232691,5.606206733460219,27.309187435027734,12
13,2020-12-01,61.14631176942255,118.88179096308941,70.47684627274539,325.9344337544226,5.012555451847627,29.076505072887077,13
14,2021-01-01,63.619076026557096,127.3305932077324,76.52778540069556,346.66262061563987,5.403556659716107,29.90176157123336,14
15,2021-02-01,59.35492721693761,118.604770042688,52.230809102009744,299.47063664554463,5.7592258572090795,27.627576296614976,15
16,2021-03-01,67.07118717908023,122.13436290931021,50.74981602003507,309.69192737484934,7.656688255942128,30.66159222710019,16
17,2021-04-01,71.09547412099595,113.7741637866516,34.814180383021046,284.033493815641,8.610212848615992,33.72068058232889,17
18,2021-05-01,72.60725203881726,127.15074092232211,46.69855496496945,317.6606136805504,9.047236812322662,30.11650085969841,18
19,2021-06-01,67.82454595939683,146.66721371579513,55.32631736031418,342.7840500560978,9.925994304580591,27.96388844888135,19
20,2021-07-01,61.67785100689274,182.96871598396126,75.90932179206153,397.3275562989737,9.797411198578144,25.26204628546023,20
21,2021-08-01,58.488745703457695,181.2892651207404,79.9307035204302,396.030505113236,9.319548742194968,25.11625589974101,21
22,2021-09-01,56.61568615818454,154.7944993987741,62.42471154450814,343.64179409964515,8.810102170555087,24.48179300618819,22
23,2021-10-01,58.86163580796378,138.89542565498914,44.717262582960885,308.12148398736304,7.7051149192850135,27.669448840224486,23
24,2021-11-01,60.806868753608036,123.57227401005251,50.812600026865866,305.02664332461205,6.460520062748529,29.50878107764125,24
25,2021-12-01,63.7807639440961,129.3467145389902,57.91547455967945,326.20509406471336,5.882646258778213,31.121497037849547,25
26,2022-01-01,66.40645588641803,136.18141024287723,64.21898680361144,346.9840170839115,6.266906643410347,32.07205652127746,26
27,2022-02-01,62.242529232065785,126.72981984497231,39.46588483112409,299.3798099883009,6.631724254208037,29.757175914168762,27
28,2022-03-01,69.78788839989734,131.15894392012044,37.993220778324726,309.7049816324028,8.511391826616237,32.80339326551042,28
29,2022-04-01,73.66363953466013,123.28386103728208,22.38107053418471,284.2022143766987,9.467412916320928,35.57521560544513,29
30,2022-05-01,75.14451084475209,137.19226131768252,34.265896002781176,317.91760476332365,9.91352225322645,32.00553189104927,30
31,2022-06-01,70.58957921762816,155.83907852562274,43.17211659013977,343.2039565890057,10.788928377180063,30.08931399546835,31
32,2022-07-01,64.03633652173723,192.06258617599687,63.51124583711629,397.41067607638405,10.644050723378383,26.930790822806987,32
33,2022-08-01,61.08701766827101,189.81702381618285,67.37561567965986,396.03717920263495,10.178212433875114,27.080615480275426,33
34,2022-09-01,59.02494002037896,164.59373794858215,49.835595352230406,343.69781622314576,9.66896828108182,26.371918858038182,34
35,2022-10-01,61.261399800614974,148.2793086041255,32.43891634166857,308.27961898909666,8.56127155376133,29.55775490328436,35
36,2022-11-01,63.295586580763455,132.58901985336408,38.513372430359205,305.1740265427229,7.3166890015522,31.35427381708868,36
37,2022-12-01,66.29036629732944,137.33710924065164,45.49376241787363,326.2031274217917,6.7346462968729925,33.027999519079486,37
38,2023-01-01,68.86154873777483,144.98281893278173,51.719769722538274,346.9687696912261,7.120688120946263,33.92911126765383,38
39,2023-02-01,64.66189892607592,135.8958930499374,27.1066351116161,299.4724665520014,7.4830884211970075,31.630290070538024,39
40,2023-03-01,72.26817392583672,139.87304424110076,25.63141520128661,309.7704462192213,9.367458338773153,34.671692431854076,40
41,2023-04-01,76.1968691226823,131.75421285481528,9.919999777512905,284.2269315891365,10.322819806771099,37.556877224785794,41
42,2023-05-01,77.68875677549832,145.39539656904483,21.804686886402564,317.9192161916955,10.766528405386676,33.973580510926425,42
43,2023-06-01,73.05263728549875,164.47917554180253,30.625459403895764,343.1629230987945,11.64282015915993,31.964075346070782,43
44,2023-07-01,66.64430435499068,200.74187188542984,51.03942453081542,397.45780023945986,11.502248332459985,28.985770078376852,44
45,2023-08-01,63.60951608551565,198.7807544055008,54.95197526002157,396.10431386894163,11.033232702138074,29.018937544759623,45
