Date,Solar_proj
2019-11-01,4.745043888707949
2019-12-01,4.211050926956734
2020-01-01,4.576507374820288
2020-02-01,4.966771620766141
2020-03-01,6.796874141626704
2020-04-01,7.75983293793193
2020-05-01,8.231229252578611
2020-06-01,9.097297090121733
2020-07-01,8.907045058003538
2020-08-01,8.47468230840216
2020-09-01,7.965999112058545
2020-10-01,6.850756409383122
2020-11-01,5.606206733460219
2020-12-01,5.012555451847627
2021-01-01,5.403556659716107
2021-02-01,5.759225857209079
2021-03-01,7.656688255942127
2021-04-01,8.610212848615992
2021-05-01,9.047236812322662
2021-06-01,9.925994304580591
2021-07-01,9.797411198578143
2021-08-01,9.319548742194968
2021-09-01,8.810102170555089
2021-10-01,7.705114919285014
2021-11-01,6.460520062748529
2021-12-01,5.882646258778213
2022-01-01,6.266906643410346
2022-02-01,6.631724254208037
2022-03-01,8.511391826616237
2022-04-01,9.467412916320928
2022-05-01,9.91352225322645
2022-06-01,10.788928377180065
2022-07-01,10.644050723378383
2022-08-01,10.178212433875112
2022-09-01,9.668968281081819
2022-10-01,8.56127155376133
2022-11-01,7.3166890015522
2022-12-01,6.734646296872993
2023-01-01,7.120688120946263
2023-02-01,7.483088421197008
2023-03-01,9.367458338773153
2023-04-01,10.322819806771099
2023-05-01,10.766528405386678
2023-06-01,11.64282015915993
2023-07-01,11.502248332459985
2023-08-01,11.033232702138074
2023-09-01,10.523935074914585
2023-10-01,9.416954331257315
2023-11-01,8.172368535147903
2023-12-01,7.591427459066021
2024-01-01,7.976998545461452
2024-02-01,8.340037617736867
2024-03-01,10.223164952617333
2024-04-01,11.17870072573667
2024-05-01,11.623043715430876
2024-06-01,12.49910144417688
2024-07-01,12.357391812350697
2024-08-01,11.88921578801315
2024-09-01,11.379932291588128
2024-10-01,10.272762350977406
2024-11-01,9.028177412215369
2024-12-01,8.446945233222127
2025-01-01,8.832640711131777
2025-02-01,9.195510989311371
2025-03-01,11.07896667407814
2025-04-01,12.034456387468914
2025-05-01,12.47863174068688
2025-06-01,13.354751310066336
2025-07-01,13.213342340845221
2025-08-01,12.74494445241378
2025-09-01,12.235657221961226
2025-10-01,11.128537276248894
2025-11-01,9.883952110937779
2025-12-01,9.302796855274286
2026-01-01,9.688459462991538
2026-02-01,10.051374344654464
2026-03-01,11.934743263660422
2026-04-01,12.89024514823749
2026-05-01,13.334464799039527
2026-06-01,14.21056802716296
2026-07-01,14.069079608485806
2026-08-01,13.60074034717121
2026-09-01,13.091454103427642
2026-10-01,11.98432094666944
2026-11-01,10.739735841223503
2026-12-01,10.158560258733173
2027-01-01,10.544231552329148
2027-02-01,10.907134647616143
2027-03-01,12.790526494290553
2027-04-01,13.746025162657446
2027-05-01,14.19023310791677
2027-06-01,15.066340654182486
2027-07-01,14.92487322985574
2027-08-01,14.456518476449753
2027-09-01,13.947231971970428
2027-10-01,12.840102306203104
2027-11-01,11.595517184937922
2027-12-01,11.014346973768511
2028-01-01,11.400015972139439
2028-02-01,11.762922181951298
2028-03-01,13.646307970037904
2028-04-01,14.601807488281521
2028-05-01,15.046018526705703
2028-06-01,15.922124931911473
2028-07-01,15.780651959872118
2028-08-01,15.312301300218454
2028-09-01,14.803014864638001
2028-10-01,13.695884276383735
2028-11-01,12.451299159298756
2028-12-01,11.870127528769174
2029-01-01,12.255797133648457
2029-02-01,12.618702520453722
2029-03-01,14.502089909509317
2029-04-01,15.45758920317481
2029-05-01,15.901799424236733
2029-06-01,16.777906130965174
2029-07-01,16.636434624897124
2029-08-01,16.168082883478082
2029-09-01,15.658796429691249
2029-10-01,14.551666085202202
2029-11-01,13.307080967012613
2029-12-01,12.725909711545949
2030-01-01,13.111579156156685
2030-02-01,13.4744847604397
2030-03-01,15.357871726442632
2030-04-01,16.31337107945242
2030-05-01,16.757581516500586
2030-06-01,17.633688143552302
2030-07-01,17.492216250104438
2030-08-01,17.023864794539605
2030-09-01,16.514578345563766
